year	fips	prescription_rate_per_100
2006	19181	46.3
2006	19183	34.2
2006	19185	79.9
2006	19187	77.7
2006	19189	42.4
2006	19191	39.9
2006	19193	57.7
2006	19195	
2006	19197	57.8
2006	16001	77.9
2006	16003	
2006	16005	83.5
2006	16007	108.6
2006	16009	87.6
2006	16011	51.5
2006	16013	55.9
2006	16015	
2006	16017	76
2006	16019	81.7
2006	16021	102
2006	16023	85
2006	16025	
2006	16027	68.3
2006	16029	
2006	16031	104.4
2006	16033	
2006	16035	95.4
2006	16037	5.4
2006	16039	53.4
2006	16041	108.6
2006	16043	30.8
2006	16045	95.7
2006	16047	56.4
2006	16049	56.9
2006	16051	33.3
2006	16053	62.1
2006	16055	93.9
2006	16057	63.7
2006	16059	83
2006	16061	148.5
2006	16063	
2006	16065	44.7
2006	16067	33.1
2006	16069	152.5
2006	16071	
2006	16073	
2006	16075	49.8
2006	16077	59
2006	16079	94.1
2006	16081	57.8
2006	16083	99
2006	16085	116.4
2006	16087	68
2006	17001	92.3
2006	17003	34.4
2006	17005	61.1
2006	17007	48
2006	17009	
2006	17011	18.9
2006	17013	47.2
2006	17015	18.3
2006	17017	68.4
2006	17019	60
2006	17021	86.1
2006	17023	84.3
2006	17025	41.5
2006	17027	15.7
2006	17029	87.8
2006	17031	41.9
2006	17033	17.4
2006	17035	
2006	17037	50.3
2006	17039	44.2
2006	17041	23.4
2006	17043	50.1
2006	17045	78.2
2006	17047	
2006	17049	114.6
2006	17051	49.9
2006	17053	19.4
2006	17055	78.5
2006	17057	62.4
2006	17059	71.8
2006	17061	19.7
2006	17063	81.6
2006	17065	
2006	17067	33.8
2006	17069	141.3
2006	17071	
2006	17073	51.3
2006	17075	60.3
2006	17077	106.4
2006	17079	61.2
2006	17081	102.2
2006	17083	36.9
2006	17085	34.5
2006	17087	
2006	17089	45.2
2006	17091	75.4
2006	17093	59.8
2006	17095	102.1
2006	17097	54
2006	17099	85.8
2006	17101	91.3
2006	17103	52.8
2006	17105	67.3
2006	17107	75
2006	17109	67.3
2006	17111	62.1
2006	17113	58.2
2006	17115	87
2006	17117	39.3
2006	17119	106.1
2006	17121	117.6
2006	17123	41.1
2006	17125	55
2006	17127	49
2006	17129	
2006	17131	34.4
2006	17133	55.8
2006	17135	106.3
2006	17137	109.2
2006	17139	24
2006	17141	11.6
2006	17143	82.5
2006	17145	94.9
2006	17147	28.3
2006	17149	57
2006	17151	
2006	17153	
2006	17155	
2006	17157	46.5
2006	17159	94.6
2006	17161	70.4
2006	17163	67.1
2006	17165	189.5
2006	17167	97
2006	17169	108.7
2006	17171	7.2
2006	17173	37.4
2006	17175	
2006	17177	61.7
2006	17179	83.4
2006	17181	123.8
2006	17183	97.3
2006	17185	104.4
2006	17187	67.7
2006	17189	6.3
2006	17191	61
2006	17193	90.1
2006	17195	60.6
2006	17197	55
2006	17199	161.7
2006	17201	91.8
2006	17203	21.4
2006	18001	64.1
2006	18003	76
2006	18005	123.9
2006	18007	21
2006	18009	96.5
2006	18011	71.9
2006	18013	51.9
2006	18015	35.5
2006	18017	72.7
2006	18019	116.8
2006	18021	109
2006	18023	89.3
2006	18025	60
2006	18027	118.7
2006	18029	114.6
2006	18031	100.3
2006	18033	73
2006	18035	126.8
2006	18037	110.7
2006	18039	76.3
2006	18041	130.2
2006	18043	172.4
2006	18045	109.8
2006	18047	41.9
2006	18049	103.8
2006	18051	77.9
2006	18053	119.4
2006	18055	93.4
2006	18057	65.4
2006	18059	88.3
2006	18061	77.7
2006	18063	82.6
2006	18065	115.4
2006	18067	161.6
2006	18069	74.6
2006	18071	107.3
2006	18073	111.5
2006	18075	99.8
2006	18077	119.4
2006	18079	115.7
2006	18081	95.1
2006	18083	123.2
2006	18085	76.8
2006	18087	16.7
2006	18089	81.6
2006	18091	97.8
2006	18093	140.3
2006	18095	147.6
2006	18097	91.4
2006	18099	72.3
2006	18101	99.7
2006	18103	60.5
2006	18105	95.5
2006	18107	111.7
2006	18109	132.7
2006	18111	38.4
2006	18113	51.3
2006	18115	69.6
2006	18117	109.9
2006	18119	62.5
2006	18121	53.8
2006	18123	103.5
2006	18125	83.8
2006	18127	89.2
2006	18129	71
2006	18131	70.5
2006	18133	64.3
2006	18135	88.1
2006	18137	87.4
2006	18139	92.3
2006	18141	86.5
2006	18143	204.6
2006	18145	88.7
2006	18147	13.1
2006	18149	121.2
2006	18151	92.4
2006	18153	77.5
2006	18155	68.1
2006	18157	80.3
2006	18159	87.7
2006	18161	72.1
2006	18163	138.6
2006	18165	107.2
2006	18167	136.5
2006	18169	94.8
2006	18171	
2006	18173	81.7
2006	18175	88
2006	18177	116.2
2006	18179	77
2006	18181	77.7
2006	18183	97.9
2006	20001	37
2006	20003	
2006	20005	113.3
2006	20007	67.8
2006	20009	99.3
2006	20011	82.8
2006	20013	10.2
2006	20015	91.4
2006	20017	
2006	20019	14.5
2006	20021	47.3
2006	20023	72.8
2006	20025	
2006	20027	54.1
2006	20029	54.1
2006	20031	104.2
2006	20033	
2006	20035	100
2006	20037	121
2006	20039	111.8
2006	20041	55.1
2006	20043	
2006	20045	76.2
2006	20047	
2006	20049	
2006	20051	143.4
2006	20053	
2006	20055	69
2006	20057	98.1
2006	20059	55.7
2006	20061	53
2006	20063	
2006	20065	134.1
2006	20067	
2006	20069	15
2006	20071	220.7
2006	20073	
2006	20075	82.1
2006	20077	
2006	20079	92
2006	20081	
2006	20083	
2006	20085	40.5
2006	20087	11.6
2006	20089	
2006	20091	75.9
2006	20093	52.3
2006	20095	1.5
2006	20097	
2006	20099	95.9
2006	20101	
2006	20103	48.3
2006	20105	
2006	20107	
2006	20109	6.3
2006	20111	59.5
2006	20113	68.8
2006	20115	7.1
2006	20117	16.3
2006	20119	
2006	20121	19.6
2006	20123	26.4
2006	20125	112.3
2006	20127	
2006	20129	191.1
2006	20131	34.6
2006	20133	72
2006	20135	
2006	20137	51.1
2006	20139	
2006	20141	74.7
2006	20143	
2006	20145	49.6
2006	20147	
2006	20149	26.4
2006	20151	171
2006	20153	
2006	20155	84.2
2006	20157	116.9
2006	20159	38.8
2006	20161	62.2
2006	20163	
2006	20165	59
2006	20167	
2006	20169	126.1
2006	20171	99.8
2006	20173	104.3
2006	20175	126.7
2006	20177	100.5
2006	20179	62.3
2006	20181	82.6
2006	20183	98.4
2006	20185	
2006	20187	
2006	20189	38.6
2006	20191	73.1
2006	20193	119.7
2006	20195	113.6
2006	20197	
2006	20199	
2006	20201	13.3
2006	20203	
2006	20205	142.9
2006	20207	
2006	20209	67.6
2006	21001	85.3
2006	21003	62.2
2006	21005	75.7
2006	21007	101.3
2006	21009	97.4
2006	21011	
2006	21013	346.3
2006	21015	132.5
2006	21017	119.7
2006	21019	197.8
2006	21021	169
2006	21023	
2006	21025	161.4
2006	21027	56.8
2006	21029	68.5
2006	21031	118.8
2006	21033	163.6
2006	21035	124.2
2006	21037	122.6
2006	21039	29.6
2006	21041	160.2
2006	21043	128.5
2006	21045	73.4
2006	21047	93.4
2006	21049	151.3
2006	21051	258.4
2006	21053	
2006	21055	237.5
2006	21057	75.7
2006	21059	121.7
2006	21061	57.1
2006	21063	
2006	21065	104.4
2006	21067	103.6
2006	21069	36.9
2006	21071	263.3
2006	21073	111.3
2006	21075	192.5
2006	21077	38.6
2006	21079	69.6
2006	21081	109.6
2006	21083	110.6
2006	21085	124.6
2006	21087	138
2006	21089	123.5
2006	21091	
2006	21093	91.3
2006	21095	154.2
2006	21097	131.5
2006	21099	75.5
2006	21101	99.5
2006	21103	95.3
2006	21105	86.5
2006	21107	147.5
2006	21109	48.3
2006	21111	119.2
2006	21113	93.2
2006	21115	257.5
2006	21117	93.8
2006	21119	34.3
2006	21121	128.3
2006	21123	81.1
2006	21125	128.5
2006	21127	140.2
2006	21129	168.7
2006	21131	227.4
2006	21133	171
2006	21135	69.6
2006	21137	77.3
2006	21139	50.5
2006	21141	69.4
2006	21143	94.8
2006	21145	207.3
2006	21147	161.8
2006	21149	55.5
2006	21151	104.4
2006	21153	148.7
2006	21155	83.7
2006	21157	108.8
2006	21159	105
2006	21161	163.1
2006	21163	57.9
2006	21165	56.6
2006	21167	110.5
2006	21169	60.5
2006	21171	186.5
2006	21173	211.5
2006	21175	72
2006	21177	99.2
2006	21179	93.8
2006	21181	
2006	21183	140.3
2006	21185	61.9
2006	21187	81.8
2006	21189	22.8
2006	21191	38.7
2006	21193	200.4
2006	21195	387.5
2006	21197	152.1
2006	21199	137.9
2006	21201	
2006	21203	89.2
