GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US04013,04013,United States - Arizona - Maricopa County,Maricopa County,58580,350
0100000US,,United States,0500000US04015,04015,United States - Arizona - Mohave County,Mohave County,41567,796
0100000US,,United States,0500000US04017,04017,United States - Arizona - Navajo County,Navajo County,38798,1774
0100000US,,United States,0500000US04019,04019,United States - Arizona - Pima County,Pima County,48676,534
0100000US,,United States,0500000US04021,04021,United States - Arizona - Pinal County,Pinal County,52628,891
0100000US,,United States,0500000US04023,04023,United States - Arizona - Santa Cruz County,Santa Cruz County,39630,2778
0100000US,,United States,0500000US04025,04025,United States - Arizona - Yavapai County,Yavapai County,48259,1287
0100000US,,United States,0500000US04027,04027,United States - Arizona - Yuma County,Yuma County,43253,1376
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,43813,401
0100000US,,United States,0500000US05001,05001,United States - Arkansas - Arkansas County,Arkansas County,38532,2759
0100000US,,United States,0500000US05003,05003,United States - Arkansas - Ashley County,Ashley County,36407,2317
0100000US,,United States,0500000US05005,05005,United States - Arkansas - Baxter County,Baxter County,40072,1602
0100000US,,United States,0500000US05007,05007,United States - Arkansas - Benton County,Benton County,61271,1146
0100000US,,United States,0500000US05009,05009,United States - Arkansas - Boone County,Boone County,40727,1497
0100000US,,United States,0500000US05011,05011,United States - Arkansas - Bradley County,Bradley County,36310,3985
0100000US,,United States,0500000US05013,05013,United States - Arkansas - Calhoun County,Calhoun County,37225,5419
0100000US,,United States,0500000US05015,05015,United States - Arkansas - Carroll County,Carroll County,39686,2195
0100000US,,United States,0500000US05017,05017,United States - Arkansas - Chicot County,Chicot County,32412,3098
0100000US,,United States,0500000US05019,05019,United States - Arkansas - Clark County,Clark County,37144,2739
0100000US,,United States,0500000US05021,05021,United States - Arkansas - Clay County,Clay County,32219,2195
0100000US,,United States,0500000US05023,05023,United States - Arkansas - Cleburne County,Cleburne County,42312,2518
0100000US,,United States,0500000US05025,05025,United States - Arkansas - Cleveland County,Cleveland County,44840,3699
0100000US,,United States,0500000US05027,05027,United States - Arkansas - Columbia County,Columbia County,37072,3441
0100000US,,United States,0500000US05029,05029,United States - Arkansas - Conway County,Conway County,39638,3317
0100000US,,United States,0500000US05031,05031,United States - Arkansas - Craighead County,Craighead County,45672,1662
0100000US,,United States,0500000US05033,05033,United States - Arkansas - Crawford County,Crawford County,43504,1870
0100000US,,United States,0500000US05035,05035,United States - Arkansas - Crittenden County,Crittenden County,38558,3004
0100000US,,United States,0500000US05037,05037,United States - Arkansas - Cross County,Cross County,41081,2555
0100000US,,United States,0500000US05039,05039,United States - Arkansas - Dallas County,Dallas County,35794,4141
0100000US,,United States,0500000US05041,05041,United States - Arkansas - Desha County,Desha County,27036,2882
0100000US,,United States,0500000US05043,05043,United States - Arkansas - Drew County,Drew County,36092,2533
0100000US,,United States,0500000US05045,05045,United States - Arkansas - Faulkner County,Faulkner County,50316,2016
0100000US,,United States,0500000US05047,05047,United States - Arkansas - Franklin County,Franklin County,39472,2697
0100000US,,United States,0500000US05049,05049,United States - Arkansas - Fulton County,Fulton County,36051,3683
0100000US,,United States,0500000US05051,05051,United States - Arkansas - Garland County,Garland County,41672,1593
0100000US,,United States,0500000US05053,05053,United States - Arkansas - Grant County,Grant County,49968,3977
0100000US,,United States,0500000US05055,05055,United States - Arkansas - Greene County,Greene County,45566,3644
0100000US,,United States,0500000US05057,05057,United States - Arkansas - Hempstead County,Hempstead County,38701,3965
0100000US,,United States,0500000US05059,05059,United States - Arkansas - Hot Spring County,Hot Spring County,40626,1975
0100000US,,United States,0500000US05061,05061,United States - Arkansas - Howard County,Howard County,34851,2771
0100000US,,United States,0500000US05063,05063,United States - Arkansas - Independence County,Independence County,39945,2414
0100000US,,United States,0500000US05065,05065,United States - Arkansas - Izard County,Izard County,39135,2916
0100000US,,United States,0500000US05067,05067,United States - Arkansas - Jackson County,Jackson County,32783,2974
0100000US,,United States,0500000US05069,05069,United States - Arkansas - Jefferson County,Jefferson County,37630,1469
0100000US,,United States,0500000US05071,05071,United States - Arkansas - Johnson County,Johnson County,35758,1574
0100000US,,United States,0500000US05073,05073,United States - Arkansas - Lafayette County,Lafayette County,32500,3065
0100000US,,United States,0500000US05075,05075,United States - Arkansas - Lawrence County,Lawrence County,37603,2540
0100000US,,United States,0500000US05077,05077,United States - Arkansas - Lee County,Lee County,27901,4074
0100000US,,United States,0500000US05079,05079,United States - Arkansas - Lincoln County,Lincoln County,38873,8291
0100000US,,United States,0500000US05081,05081,United States - Arkansas - Little River County,Little River County,36963,4212
0100000US,,United States,0500000US05083,05083,United States - Arkansas - Logan County,Logan County,37982,2324
0100000US,,United States,0500000US05085,05085,United States - Arkansas - Lonoke County,Lonoke County,57290,2075
0100000US,,United States,0500000US05087,05087,United States - Arkansas - Madison County,Madison County,42894,3325
0100000US,,United States,0500000US05089,05089,United States - Arkansas - Marion County,Marion County,36113,2636
0100000US,,United States,0500000US05091,05091,United States - Arkansas - Miller County,Miller County,41862,1885
0100000US,,United States,0500000US05093,05093,United States - Arkansas - Mississippi County,Mississippi County,36417,1718
0100000US,,United States,0500000US05095,05095,United States - Arkansas - Monroe County,Monroe County,31584,3667
0100000US,,United States,0500000US05097,05097,United States - Arkansas - Montgomery County,Montgomery County,35252,3596
0100000US,,United States,0500000US05099,05099,United States - Arkansas - Nevada County,Nevada County,36995,5674
0100000US,,United States,0500000US05101,05101,United States - Arkansas - Newton County,Newton County,38134,4984
0100000US,,United States,0500000US05103,05103,United States - Arkansas - Ouachita County,Ouachita County,32136,3003
0100000US,,United States,0500000US05105,05105,United States - Arkansas - Perry County,Perry County,46168,3448
0100000US,,United States,0500000US05107,05107,United States - Arkansas - Phillips County,Phillips County,26652,1395
0100000US,,United States,0500000US05109,05109,United States - Arkansas - Pike County,Pike County,36893,2512
0100000US,,United States,0500000US05111,05111,United States - Arkansas - Poinsett County,Poinsett County,37487,2704
0100000US,,United States,0500000US05113,05113,United States - Arkansas - Polk County,Polk County,33870,2290
0100000US,,United States,0500000US05115,05115,United States - Arkansas - Pope County,Pope County,40668,2212
0100000US,,United States,0500000US05117,05117,United States - Arkansas - Prairie County,Prairie County,41244,2365
0100000US,,United States,0500000US05119,05119,United States - Arkansas - Pulaski County,Pulaski County,48850,1099
0100000US,,United States,0500000US05121,05121,United States - Arkansas - Randolph County,Randolph County,35930,2002
0100000US,,United States,0500000US05123,05123,United States - Arkansas - St. Francis County,St. Francis County,33102,2378
0100000US,,United States,0500000US05125,05125,United States - Arkansas - Saline County,Saline County,58985,2015
0100000US,,United States,0500000US05127,05127,United States - Arkansas - Scott County,Scott County,37396,4756
