fips	population_2000	population_2010	population_2017	tot_male_2000	tot_male_2010	tot_male_2017	tot_female_2000	tot_female_2010	tot_female_2017	wa_2000	wa_2010	wa_2017	ba_2000	ba_2010	ba_2017	ia_2000	ia_2010	ia_2017	aa_2000	aa_2010	aa_2017	h_2000	h_2010	h_2017	age_grp_4_2000	age_grp_4_2010	age_grp_4_2017	age_grp_5_2000	age_grp_5_2010	age_grp_5_2017	age_grp_6_2000	age_grp_6_2010	age_grp_6_2017	age_grp_7_2000	age_grp_7_2010	age_grp_7_2017	age_grp_8_2000	age_grp_8_2010	age_grp_8_2017	pct_hs_diploma_2000	pct_hs_diploma_2010	pct_hs_diploma_2017	pct_bachelors_2000	pct_bachelors_2010	pct_bachelors_2017	pov_pct_2000	pov_pct_2010	pov_pct_2017	median_hh_inc_2000	median_hh_inc_2010	median_hh_inc_2017	unemploy_rate_2000	unemploy_rate_2010	unemploy_rate_2017	deaths_2000	deaths_2010	deaths_2017	deaths_age_adj_2000	deaths_age_adj_2010	deaths_age_adj_2017	md_per_100k_2000	md_per_100k_2010	md_per_100k_2017
20173	453463	499127	513289	224180	246384	253983	229283	252743	259306	379926	406031	415989	42198	47669	47606	5338	6999	6797	15661	20938	23335	36880	65041	75021	32717	35152	34146	31316	34709	35456	32444	37432	37910	32004	33124	35583	35255	30996	33166	29.3	88.1	26.3	25.4	27.2	30.7	9.5	13.1	14.7	42485	47768	52841	4	8.4	4.3	130	144	183	4.7	5.1	6.1	4.778045103275607	4.808395458470489	5.942071620471119
20175	22541	22974	22199	11571	11825	11351	10970	11149	10848	20409	20728	19527	947	884	1140	240	285	375	712	640	684	9558	13055	13568	1973	1972	1715	1818	1876	1704	1811	1751	1776	1739	1568	1561	1727	1531	1369	26.9	67.5	26.7	13.6	13.3	12.1	16.9	17.3	18.8	36752	41290	47535	2.9	4.9	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20177	170047	178350	178173	82380	86195	86321	87667	92155	91852	146782	150943	150155	15750	15849	15241	2085	2582	2492	1707	2194	2814	12509	19459	22117	12176	11706	11685	10608	11029	10698	10643	12184	11083	11052	11173	11273	12560	10153	11070	33.6	89.6	30.8	26	28.5	30.4	9.6	13.9	13.2	40988	46955	54667	3.8	6.5	3.7	52	56	64	5.1	5.3	6.1	5.096630147351418	5.233155779833661	5.986690837930924
20179	2802	2530	2531	1398	1286	1283	1404	1244	1248	2784	2479	2465	4	3	13	4	12	15	0	5	9	42	87	128	221	130	150	93	98	121	102	95	106	121	135	127	215	124	137	36.6	93.2	31.3	15.9	17.4	24.6	15.7	14.6	4.8	33547	46520	56607	2.1	2.8	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20181	6738	6018	5948	3450	3014	2975	3288	3004	2973	6649	5829	5696	26	51	69	23	28	38	7	20	33	569	646	727	634	376	382	458	369	362	343	364	358	349	329	368	427	312	356	35.9	91.3	35.4	15	19.5	18.2	12.9	13.7	16.5	32684	40325	52030	2.7	4	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20183	4522	3860	3636	2168	1897	1802	2354	1963	1834	4488	3775	3513	7	11	11	9	11	14	1	7	19	35	54	83	306	235	204	120	124	171	144	153	142	204	168	143	315	151	189	38	88.0	35.8	16.7	15.1	20.1	10.7	8.7	13.3	28486	38347	45357	2.7	4.7	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20185	4768	4429	4207	2326	2210	2151	2442	2219	2056	4715	4255	3982	2	20	26	17	81	84	6	20	20	258	536	568	346	273	293	158	209	203	191	220	190	231	194	229	366	207	222	29.1	85.6	27.6	18.4	21.3	22.6	11.8	15.7	14.5	31107	37093	47121	3.1	5.2	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20187	2405	2245	2029	1225	1146	1021	1180	1099	1008	2340	2156	1916	15	14	18	37	36	44	3	4	5	569	832	769	193	174	180	152	111	97	150	137	104	153	140	115	189	138	128	31	72.2	26.1	16.9	13.5	22.6	14.9	8.7	10.8	40172	46875	42222	2.4	3.3	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20189	5463	5752	5573	2673	2856	2757	2790	2896	2816	5314	5574	5275	59	25	56	59	70	114	15	17	29	1192	1880	2015	462	448	417	302	306	324	339	361	320	315	349	308	434	336	343	32	76.1	30.5	17.5	15.1	16.2	10.3	12.4	16.8	41830	49966	57500	2.8	4.8	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20191	25982	24117	23098	12794	12038	11547	13188	12079	11551	25035	22996	21805	195	248	296	281	303	301	69	58	118	928	1103	1247	2134	1694	1542	1235	1177	1262	1246	1272	1281	1410	1342	1342	1871	1305	1313	37.8	90.7	34.6	15.7	17.9	20.9	9.5	11.1	11.8	39415	48848	52695	4.5	8.7	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20193	8175	7930	7830	3972	3893	3822	4203	4037	4008	8055	7688	7495	40	52	76	23	65	78	20	41	65	149	375	523	840	751	638	670	647	668	420	505	522	383	412	491	571	429	382	30.3	86.8	30.3	25	23.3	26.5	9.7	13.3	11.1	37034	41541	52465	2.4	3.7	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20195	3286	3006	2848	1567	1483	1445	1719	1523	1403	3241	2952	2753	6	13	21	8	6	10	17	7	13	24	55	63	287	199	149	106	99	142	121	120	138	135	128	167	220	142	153	37.6	89.3	30.7	14	20.2	23.3	12.3	8.2	4.8	29677	37463	55197	2.5	3.7	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20197	6876	7049	6839	3480	3585	3472	3396	3464	3367	6752	6838	6536	36	30	54	34	39	57	6	12	23	135	207	247	541	436	449	266	271	315	321	363	324	368	382	342	533	376	382	45.5	93.7	35.1	17.3	20.4	22.7	7.3	8.3	6.1	41710	53414	58947	3.2	7.2	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20199	1737	1480	1526	868	735	758	869	745	768	1706	1439	1467	11	8	11	14	7	10	3	1	1	84	107	126	168	118	115	60	57	73	70	69	78	75	77	76	124	63	80	36.7	82.9	30.3	17.2	21.1	26.4	16.1	15.2	10.6	33000	38560	60000	2.1	6	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20201	6469	5784	5466	3249	2930	2809	3220	2854	2657	6428	5674	5290	5	26	38	23	19	26	0	19	35	42	148	187	425	358	315	221	209	295	260	280	262	310	266	264	436	286	291	38.1	86.7	37.8	15.2	19.4	19.1	10.1	11.9	9.7	29363	37184	47992	3.4	4.8	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20203	2523	2238	2130	1293	1153	1099	1230	1085	1031	2488	2184	2044	3	21	28	20	13	21	0	3	4	468	557	633	182	141	158	136	73	106	143	130	112	153	132	98	159	136	116	32.9	73.5	30.1	15.5	12.0	20.3	14.8	11.6	4.4	33462	40450	55109	2.8	3.4	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20205	10306	9392	8712	5003	4614	4282	5303	4778	4430	10037	9031	8240	38	31	54	102	105	134	28	38	49	172	216	271	731	606	563	510	429	411	482	497	438	500	514	462	688	478	485	37.2	84.2	36.1	10.9	12.2	15.5	11.3	14.3	16.8	29747	37985	44468	3.8	10.8	4.7	0.0	0.0	10	0.0	0.0	Unreliable	0.0	0.0	19.13070094888277
20207	3764	3309	3145	1854	1662	1604	1910	1647	1541	3693	3197	2996	31	13	18	36	39	46	2	3	5	51	70	98	269	148	185	184	132	137	144	176	160	175	167	165	249	131	201	40.2	88.1	34.5	11.4	13.5	13.7	13.2	20.8	20.6	25335	29681	36493	4.8	8.5	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
